variable,tipo,n_nulos,iv,clase_iv,p_mann_whitney,chi2,p_chi2,v_cramer,p_valor,q_bh,significativa_fdr,vif,alerta_vif,decision_inclusion
n_productos_no_etiqueta,continua,0,2.1498814334481806,fuerte,0.0,,,,0.0,0.0,True,1.1302911909167281,False,incluir
saldo_liquido_total,continua,0,1.838402077939381,fuerte,0.0,,,,0.0,0.0,True,inf,True,incluir_con_alerta_multicolinealidad
antiguedad_relacion_meses,continua,331037,1.6155127676976109,fuerte,0.0,,,,0.0,0.0,True,1.035976063936576,False,incluir
dias_desde_ultimo_dato,continua,332063,1.5868876726996342,fuerte,0.0,,,,0.0,0.0,True,1.0340751765088438,False,incluir
cuenta_ahorro_saldo_snapshot,continua,0,1.4846930573479402,fuerte,0.0,,,,0.0,0.0,True,inf,True,incluir_con_alerta_multicolinealidad
ratio_liquidez_patrimonio,continua,164591,1.4424318050091407,fuerte,0.0,,,,0.0,0.0,True,1.0013782009592376,False,incluir
cuenta_ahorro_saldo_prom_6m,continua,90495,1.406534606386792,fuerte,0.0,,,,0.0,0.0,True,5.3052360381726,False,incluir
sin_dato_reciente,continua,0,1.3750492375153944,fuerte,0.0,,,,0.0,0.0,True,,,incluir
fiducuenta_tenencia,continua,0,1.293691627274351,fuerte,0.0,,,,0.0,0.0,True,1.1554636603109596,False,incluir
fiducuenta_saldo_prom_6m,continua,3431,1.2847262482283701,fuerte,0.0,,,,0.0,0.0,True,39.80171828644273,True,incluir_con_alerta_multicolinealidad
estimador_ingreso,continua,114431,1.2641676410634255,fuerte,0.0,,,,0.0,0.0,True,inf,True,incluir_con_alerta_multicolinealidad
n_productos_inversion_no_etiqueta,continua,0,1.2467224152753975,fuerte,0.0,,,,0.0,0.0,True,1.1642106573847923,False,incluir
fiducuenta_saldo_snapshot,continua,0,1.2429664518395942,fuerte,0.0,,,,0.0,0.0,True,inf,True,incluir_con_alerta_multicolinealidad
fiducuenta_n_obs_ventana,continua,0,1.228269033324763,fuerte,0.0,,,,0.0,0.0,True,1.135343211915827,False,incluir
ingresos_mensuales,continua,249,1.182130393508497,fuerte,0.0,,,,0.0,0.0,True,inf,True,incluir_con_alerta_multicolinealidad
bolsillos_tenencia,continua,0,1.1711967713820224,fuerte,0.0,,,,0.0,0.0,True,1.0625651383927814,False,incluir
bolsillos_n_obs_ventana,continua,0,1.0749941525994278,fuerte,0.0,,,,0.0,0.0,True,1.0558251163483232,False,incluir
total_activos,continua,249,1.026535240507099,fuerte,0.0,,,,0.0,0.0,True,2.341409384683787,False,incluir
saldo_invertido_no_etiqueta,continua,0,1.0188189886302776,fuerte,0.0,,,,0.0,0.0,True,inf,True,incluir_con_alerta_multicolinealidad
capacidad_ahorro,continua,249,0.9983595289141349,fuerte,0.0,,,,0.0,0.0,True,inf,True,incluir_con_alerta_multicolinealidad
cuenta_ahorro_tenencia,continua,0,0.9378278659041894,fuerte,0.0,,,,0.0,0.0,True,1.0341905505438347,False,incluir
desc_segmento,categorica,0,0.8523898394596353,fuerte,,68422.39805045843,0.0,0.28202890451177015,0.0,0.0,True,,,incluir
fiducuenta_tendencia_relativa_6m,continua,722863,0.8119273002300699,fuerte,7.12742824291603e-09,,,,7.12742824291603e-09,8.447322361974555e-09,True,,,incluir
cuenta_ahorro_tendencia_6m,continua,446113,0.8081907902776275,fuerte,0.8847217466929937,,,,0.8847217466929937,0.8847217466929937,False,,,incluir
fiducuenta_tendencia_6m,continua,43494,0.790368126765875,fuerte,0.0,,,,0.0,0.0,True,4.655966807685415,False,incluir
total_patrimonio,continua,260,0.7343477398733597,fuerte,0.0,,,,0.0,0.0,True,2.3367956051852286,False,incluir
bolsillos_saldo_prom_6m,continua,10064,0.6615856439564012,fuerte,0.0,,,,0.0,0.0,True,33.21747263644721,True,incluir_con_alerta_multicolinealidad
pct_dif_ingreso,continua,116876,0.6393124232508205,fuerte,0.0,,,,0.0,0.0,True,2.8716376941289954,False,incluir
bolsillos_saldo_snapshot,continua,0,0.6110007934527774,fuerte,0.0,,,,0.0,0.0,True,inf,True,incluir_con_alerta_multicolinealidad
bolsillos_tendencia_6m,continua,121922,0.5759475714547071,fuerte,1.3553975085384012e-69,,,,1.3553975085384012e-69,1.66818154897034e-69,True,4.013822688396651,False,incluir
dif_ingreso_declarado_estimado,continua,114607,0.5118884956840275,fuerte,0.0,,,,0.0,0.0,True,inf,True,incluir_con_alerta_multicolinealidad
patrimonio_por_ingreso,continua,9554,0.49360957022864715,fuerte,0.0,,,,0.0,0.0,True,1.8116671948526937,False,incluir
cuenta_ahorro_n_obs_ventana,continua,0,0.4857075366883943,fuerte,0.0,,,,0.0,0.0,True,1.011516780346496,False,incluir
bolsillos_tendencia_relativa_6m,continua,770096,0.4382279330005971,fuerte,0.0016723746884759678,,,,0.0016723746884759678,0.0017838663343743657,True,,,incluir
cv_saldo_liquido,continua,728362,0.4086826181266725,fuerte,8.411008682048037e-33,,,,8.411008682048037e-33,1.0156689729265554e-32,True,,,incluir
falta_estimador,continua,0,0.4052442356065154,fuerte,0.0,,,,0.0,0.0,True,,,incluir
tiene_estimador_ingreso,continua,0,0.4052442356065154,fuerte,0.0,,,,0.0,0.0,True,,,incluir
cv_saldo_liquido_insuficiente,continua,0,0.37537456061468,fuerte,0.0,,,,0.0,0.0,True,,,incluir
ratio_pasivo_activo,continua,97349,0.2670273456395541,media,0.0,,,,0.0,0.0,True,1.0000255882053926,False,incluir
total_pasivos,continua,249,0.17171340216388412,media,0.0,,,,0.0,0.0,True,1.1010019218249838,False,incluir
pct_ahorro_ingreso,continua,9545,0.14457893377982797,media,0.0,,,,0.0,0.0,True,inf,True,incluir_con_alerta_multicolinealidad
ratio_egreso_ingreso,continua,9545,0.1443401640520289,media,0.0,,,,0.0,0.0,True,inf,True,incluir_con_alerta_multicolinealidad
grupo_edad,categorica,0,0.1268342730572406,media,,6158.7291699153375,0.0,0.08461357175150411,0.0,0.0,True,,,incluir
total_egresos_mensuales,continua,249,0.12560425951749532,media,0.0,,,,0.0,0.0,True,inf,True,incluir_con_alerta_multicolinealidad
desc_tipo_de_vivienda,categorica,0,0.12069477777090441,media,,7786.864819657777,0.0,0.09514277026472749,0.0,0.0,True,,,incluir
falta_vivienda,continua,0,0.10825052672239739,media,0.0,,,,0.0,0.0,True,,,descartar
tiene_dato_vivienda,continua,0,0.10825052672239739,media,0.0,,,,0.0,0.0,True,,,descartar
cdt_saldo_prom_6m,continua,1610,0.044930735676018324,debil,1.8437066920898892e-129,,,,1.8437066920898892e-129,2.359944565875058e-129,True,514.1141579033873,True,incluir_con_alerta_multicolinealidad
cdt_tendencia_6m,continua,3923,0.04128060971274222,debil,0.023426303164151275,,,,0.023426303164151275,0.02457841643451937,True,7.11597273695138,False,incluir
desc_genero,categorica,93,0.03942118023112828,debil,,2185.619278571143,0.0,0.05040594152556061,0.0,0.0,True,,,excluida_por_idoneidad_no_por_poder_predictivo
cuenta_corriente_tenencia,continua,0,0.03570130741827719,debil,0.0,,,,0.0,0.0,True,1.2183984184501737,False,incluir
cdt_saldo_snapshot,continua,0,0.03501120950029738,debil,4.687952156023703e-274,,,,4.687952156023703e-274,6.250602874698271e-274,True,inf,True,incluir_con_alerta_multicolinealidad
cuenta_corriente_saldo_prom_6m,continua,1449,0.03433399290513307,debil,0.0,,,,0.0,0.0,True,21.288121656233123,True,incluir_con_alerta_multicolinealidad
cuenta_corriente_saldo_snapshot,continua,0,0.03386319545951487,debil,0.0,,,,0.0,0.0,True,inf,True,incluir_con_alerta_multicolinealidad
