variable,bin,n,eventos,no_eventos,pct_eventos,pct_no_eventos,woe,iv_bin
antiguedad_relacion_meses,"(-0.001, 4.0]",57518,1648,55870,0.026744214343075463,0.06996138822087165,0.961625329310559,0.041558729062107454
antiguedad_relacion_meses,"(10.0, 11.0]",95087,12554,82533,0.20367621411594838,0.10334896295410477,-0.6784202954566169,0.06806404337556815
antiguedad_relacion_meses,"(11.0, 12.0]",198198,32530,165668,0.527754118706349,0.2074511279560676,-0.9337347069662594,0.29907801920863053
antiguedad_relacion_meses,"(4.0, 6.0]",52658,2443,50215,0.03964178813909912,0.06288016198539802,0.4613469063142633,0.010720951881764284
antiguedad_relacion_meses,"(6.0, 9.0]",75228,4962,70266,0.08050844020473884,0.0879881491202312,0.0888401101289648,0.0006644981637849415
antiguedad_relacion_meses,"(9.0, 10.0]",50497,6208,44289,0.10072275083347529,0.05545958786136324,-0.5967170921709536,0.027009302991178676
antiguedad_relacion_meses,Sin dato,331037,1291,329746,0.020952473657313897,0.41291062190196354,2.9809744439482415,1.1684172230145768
bolsillos_n_obs_ventana,0,609573,15350,594223,0.2490326976581955,0.7440894374658383,1.0945770355159854,0.5418777386708582
bolsillos_n_obs_ventana,1,61066,11089,49977,0.179906068250582,0.06258205853681137,-1.0559562394466477,0.12388902009415521
bolsillos_n_obs_ventana,2,93047,17094,75953,0.27732578418409976,0.09510932685860042,-1.0701658923272797,0.19500183765045867
bolsillos_n_obs_ventana,3,68673,12864,55809,0.20870207087872422,0.0698849161304622,-1.0940579029594648,0.15187400521868305
bolsillos_n_obs_ventana,4,23742,4474,19268,0.07259026127302666,0.02412810554582662,-1.1014534043595097,0.053378806408325194
bolsillos_n_obs_ventana,5,3776,699,3077,0.01134805850049886,0.003853659849873183,-1.0800233649582085,0.008094125648987002
bolsillos_n_obs_ventana,6,324,60,264,0.0009814975543676642,0.000331208133319726,-1.086332542649723,0.000706430560225223
bolsillos_n_obs_ventana,7,18,4,14,7.300395032486758e-05,1.8156967611100294e-05,-1.3914591762610264,7.631733738730139e-05
bolsillos_n_obs_ventana,8,4,2,2,4.055775018048199e-05,3.1305116570862574e-06,-2.5615304289112815,9.58710103477987e-05
bolsillos_saldo_prom_6m,"(-0.001, 240646.031]",765143,36112,729031,0.5858852159805313,0.9129000730664165,0.44350253238448595,0.14503191724494083
bolsillos_saldo_prom_6m,"(240646.031, 1045000000.0]",85016,23731,61285,0.3850172378827824,0.0767422771552558,-1.6128353489868388,0.49719675386888434
bolsillos_saldo_prom_6m,Sin dato,10064,1793,8271,0.029097546136686272,0.010357649778327637,-1.0329284897001085,0.019356972842575947
bolsillos_saldo_snapshot,"(-0.001, 183027.24]",774200,37962,736238,0.6159044080665834,0.92192532319544,0.40337245612984,0.12344040816262818
bolsillos_saldo_snapshot,"(183027.24, 2050000000.0]",86023,23674,62349,0.38409559193341664,0.07807467680456005,-1.5932256953249473,0.4875603852901492
bolsillos_tendencia_6m,"(-1120000000.001, 0.0]",700032,30557,669475,0.49576150882174,0.8383234920112173,0.5253090725440227,0.17995091767810537
bolsillos_tendencia_6m,"(0.0, 2010000000.0]",38269,8924,29345,0.1447901034272967,0.03674670997641464,-1.3712364339193277,0.14815303754413037
bolsillos_tendencia_6m,Sin dato,121922,22155,99767,0.35944838775096327,0.12492979801236807,-1.0568186364617358,0.2478436162324714
bolsillos_tendencia_relativa_6m,"(-0.00841, 0.0833]",9012,2424,6588,0.03933226803371106,0.008250140090221233,-1.561815070706781,0.04854453585177878
bolsillos_tendencia_relativa_6m,"(-0.392, -0.00841]",9013,2286,6727,0.03709351654323791,0.008424196320401206,-1.4823341186437298,0.042497511524633505
bolsillos_tendencia_relativa_6m,"(-0.896, -0.392]",9013,2257,6756,0.03662305427350081,0.008460510210150984,-1.4652684599596806,0.04126568756825124
bolsillos_tendencia_relativa_6m,"(-1.5, -0.896]",8124,2047,6077,0.03321625852712864,0.0076102643087682395,-1.473541567683627,0.03773149686262067
bolsillos_tendencia_relativa_6m,"(-2.0, -1.5]",7148,1502,5646,0.024374812423448487,0.007070564774900841,-1.2376099613923184,0.02141590926424217
bolsillos_tendencia_relativa_6m,"(-5.001, -2.0]",11766,2197,9569,0.03564968406025162,0.011982957515879501,-1.0902548512278851,0.02580276342768546
bolsillos_tendencia_relativa_6m,"(0.0833, 0.496]",9013,2289,6724,0.03714218505390038,0.008420439711116745,-1.4840913379802272,0.042625693474899126
bolsillos_tendencia_relativa_6m,"(0.496, 1.157]",9012,2271,6741,0.03685017398992562,0.008441727163728685,-1.4736734122720097,0.04186477277170958
bolsillos_tendencia_relativa_6m,"(1.157, 1.667]",9049,1973,7076,0.032015768597454634,0.008861215200493369,-1.284544639075689,0.029743057436258373
bolsillos_tendencia_relativa_6m,"(1.667, 4.503]",8977,1788,7189,0.029014543773269633,0.009002714150208022,-1.1702711095779577,0.023419266057665353
bolsillos_tendencia_relativa_6m,Sin dato,770096,40602,729494,0.6586877347241712,0.9134752705541311,0.327006729310562,0.08331723876085283
bolsillos_tenencia,0,599509,13557,585952,0.21995716858380518,0.7337356684548227,1.204715999890374,0.6189571791942893
bolsillos_tenencia,1,260714,48079,212635,0.7800428314161948,0.26626433154517726,-1.0748592872733502,0.552239592187733
