variable,importancia,importancia_std,modelo
n_productos_no_etiqueta,0.013167937956537989,0.0011553377457050537,A
total_activos,0.011797037053166792,0.0006478081416148945,A
saldo_liquido_total,0.010314817637513874,0.0007351578265903338,A
cuenta_ahorro_saldo_prom_6m,0.005925631558742861,0.000515406236069193,A
bolsillos_tenencia,0.003463582747018412,0.0004185680099856117,A
ingresos_mensuales,0.0029337402993244053,0.000297053745606462,A
dias_desde_ultimo_dato,0.0019705110617542544,0.0006350800386537254,A
fiducuenta_saldo_prom_6m,0.001790081788376141,0.0003259368459015972,A
estimador_ingreso,0.0017626310404415424,0.00023704499681982623,A
dif_ingreso_declarado_estimado,0.001358660806743539,0.00038249395163023726,A
total_patrimonio,0.0011744864166346903,0.0002045569397069211,A
saldo_invertido_no_etiqueta,0.0010611063259642784,0.00022000433407568903,A
cdt_n_obs_ventana,0.0009849757812424808,5.011436198069857e-05,A
cuenta_ahorro_saldo_snapshot,0.0009299499522023247,4.346386036770092e-05,A
cuenta_ahorro_tenencia,0.0008074918598737657,5.9355914644010944e-05,A
grupo_edad_65+,0.0007071936350019348,9.743093336412375e-05,A
grupo_edad_50-65,0.000698174439573318,0.00015083589573162067,A
desc_segmento_preferencial,0.0006934985042384101,8.711030612559597e-05,A
fiducuenta_saldo_snapshot,0.0006189674889592433,0.00011763443925980722,A
ratio_pasivo_activo,0.0006116318318725611,9.952733333762731e-05,A
grupo_edad_26-35,0.0005368538304294735,8.254790444249011e-05,A
fiducuenta_tendencia_relativa_6m,0.0005273490635628875,8.639487538818563e-05,A
bolsillos_saldo_prom_6m,0.0004840458363308153,0.00011992989258726004,A
patrimonio_por_ingreso,0.00045271723760464955,0.00015984450128961425,A
bolsillos_saldo_snapshot,0.0003962783788783009,3.868803931294602e-05,A
total_pasivos,0.00033880285033460744,6.874911512284958e-05,A
bolsillos_n_obs_ventana,0.0003272969914867696,5.048108876315291e-05,A
ratio_liquidez_patrimonio,0.000301294556976095,0.0002376062295811759,A
cdt_saldo_snapshot,0.0002972134046482111,0.0002209509107197117,A
tiene_dato_vivienda,0.0002746116503810736,6.774374098465993e-05,A
grupo_edad_18-25,0.0002723484506339524,6.584656690993074e-05,A
cdt_saldo_prom_6m,0.00023361026698973664,5.739835790276449e-05,A
pct_ahorro_ingreso,0.0002035686846008078,0.0001492274632197484,A
cv_saldo_liquido,0.00019177383513933056,5.245639676663387e-05,A
cdt_tendencia_6m,0.000186607287832552,9.560395260611424e-05,A
capacidad_ahorro,0.00016342083162632637,4.952531557623567e-05,A
cuenta_ahorro_n_obs_ventana,0.0001285487375277228,4.964352363454404e-05,A
cdt_tendencia_relativa_6m,0.00012740285614127879,4.523600502504063e-05,A
desc_tipo_de_vivienda_ARRENDADA,0.0001252555886753326,1.5064292924087996e-05,A
desc_tipo_de_vivienda_PROPIA,0.00011872977737781287,2.4485235576445107e-05,A
cuenta_ahorro_tendencia_6m,0.00010397109394912895,3.085877819569926e-05,A
bolsillos_tendencia_relativa_6m,0.00010173981758381246,4.089414728500015e-05,A
pct_dif_ingreso,9.879782593038566e-05,0.00017608611478249486,A
ratio_egreso_ingreso,4.953836773800013e-05,0.0001374046215663977,A
desc_segmento_plus,3.893308429074871e-05,1.7650336197741852e-05,A
fiducuenta_tendencia_6m,3.86995395506462e-05,5.952663734372532e-05,A
n_productos_inversion_no_etiqueta,3.329440696984154e-05,3.89071827194467e-05,A
grupo_edad_36-49,3.258201150373452e-05,5.5704551010751465e-05,A
total_egresos_mensuales,2.6662744459216014e-05,8.744229977972719e-05,A
antiguedad_relacion_meses,1.974041115704317e-05,0.0001698037915938736,A
cuenta_corriente_tendencia_6m,1.4953584075061422e-05,4.901479773322955e-06,A
cuenta_corriente_saldo_snapshot,1.416390042163762e-05,1.252070168310642e-05,A
desc_tipo_de_vivienda_FAMILIAR,9.284663550435113e-06,2.6145556228945435e-06,A
cuenta_corriente_tenencia,4.3852645433384295e-06,1.2190267352258984e-06,A
falta_vivienda,4.018985742448855e-06,3.6432853302912077e-06,A
desc_tipo_de_vivienda_NO INFORMA,3.0713653583092084e-06,1.9737450638327057e-06,A
cv_saldo_liquido_insuficiente,2.47322199538047e-06,1.236610997690235e-06,A
sin_dato_financiero,0.0,0.0,A
sin_dato_financiero_total,0.0,0.0,A
cuenta_corriente_n_obs_ventana,0.0,0.0,A
fiducuenta_tenencia,0.0,0.0,A
cdt_tenencia,0.0,0.0,A
sin_dato_reciente,0.0,0.0,A
falta_financiero,0.0,0.0,A
falta_estimador,0.0,0.0,A
desc_segmento_personal,0.0,0.0,A
desc_tipo_de_vivienda_Sin dato,0.0,0.0,A
tiene_estimador_ingreso,-5.363128131152806e-06,3.7756410603086846e-05,A
cuenta_corriente_saldo_prom_6m,-7.913638313805648e-06,5.067378923550312e-06,A
cuenta_corriente_tendencia_relativa_6m,-8.105178604211893e-06,5.41314235376523e-06,A
fiducuenta_n_obs_ventana,-1.3021379391142674e-05,6.518432338240334e-06,A
cuenta_ahorro_tendencia_relativa_6m,-2.4673413723741432e-05,3.762562761252449e-05,A
bolsillos_tendencia_6m,-4.30343987542825e-05,5.589761023775401e-05,A
